time_idx,grid_x,grid_y,y_true,y_pred
0,0,0,0.0,0.10498981177806854
0,0,1,0.0,0.10498981177806854
0,0,2,0.0,0.10498981177806854
0,0,3,0.0,0.10498981177806854
0,0,4,51.0,42.51753234863281
0,0,5,71.0,76.77565002441406
0,0,6,18.0,12.044589042663574
0,0,7,0.0,0.10498981177806854
0,1,0,0.0,0.10498981177806854
0,1,1,0.0,0.10498981177806854
0,1,2,0.0,0.10498981177806854
0,1,3,0.0,0.10498981177806854
0,1,4,149.0,160.4263916015625
0,1,5,59.0,64.832275390625
0,1,6,5.0,7.610949993133545
0,1,7,0.0,0.10498981177806854
0,2,0,0.0,0.10498981177806854
0,2,1,0.0,0.10498981177806854
0,2,2,0.0,0.10498981177806854
0,2,3,267.0,236.1684112548828
0,2,4,96.0,81.8765869140625
0,2,5,118.0,92.3642578125
0,2,6,33.0,24.11081314086914
0,2,7,1.0,0.6396322250366211
0,3,0,0.0,0.10498981177806854
0,3,1,0.0,0.10498981177806854
0,3,2,0.0,0.10498981177806854
0,3,3,400.0,382.2703552246094
0,3,4,154.0,117.39491271972656
0,3,5,51.0,53.755592346191406
0,3,6,30.0,24.15081787109375
0,3,7,9.0,8.472625732421875
0,4,0,0.0,0.10498981177806854
0,4,1,0.0,0.10498981177806854
0,4,2,0.0,0.10498981177806854
0,4,3,114.0,98.01376342773438
0,4,4,228.0,206.53062438964844
0,4,5,17.0,25.8243408203125
0,4,6,76.0,60.022544860839844
0,4,7,14.0,15.0323486328125
0,5,0,1.0,0.8041050434112549
0,5,1,9.0,4.544442176818848
0,5,2,4.0,4.741824626922607
0,5,3,46.0,44.69587326049805
0,5,4,93.0,102.92105865478516
0,5,5,35.0,33.376644134521484
0,5,6,126.0,88.0216064453125
0,5,7,6.0,6.468303203582764
0,6,0,0.0,0.10498981177806854
0,6,1,5.0,5.401125431060791
0,6,2,1.0,1.190364956855774
0,6,3,20.0,13.962142944335938
0,6,4,19.0,24.201982498168945
0,6,5,0.0,0.2797703146934509
0,6,6,3.0,2.5365591049194336
0,6,7,8.0,7.6711506843566895
0,7,0,2.0,0.7096569538116455
0,7,1,3.0,0.7286704182624817
0,7,2,0.0,0.10498981177806854
0,7,3,0.0,0.10498981177806854
0,7,4,0.0,0.10498981177806854
0,7,5,0.0,0.10498981177806854
0,7,6,0.0,0.10498981177806854
0,7,7,0.0,0.10498981177806854
1,0,0,0.0,0.10498981177806854
1,0,1,0.0,0.10498981177806854
1,0,2,0.0,0.10498981177806854
1,0,3,0.0,0.10498981177806854
1,0,4,37.0,25.519657135009766
1,0,5,36.0,44.3511848449707
1,0,6,7.0,7.419627666473389
1,0,7,0.0,0.10498981177806854
1,1,0,0.0,0.10498981177806854
1,1,1,0.0,0.10498981177806854
1,1,2,0.0,0.10498981177806854
1,1,3,0.0,0.10498981177806854
1,1,4,114.0,98.55718994140625
1,1,5,40.0,45.46209716796875
1,1,6,4.0,4.878952503204346
1,1,7,0.0,0.10498981177806854
1,2,0,0.0,0.10498981177806854
1,2,1,0.0,0.10498981177806854
1,2,2,0.0,0.10498981177806854
1,2,3,151.0,146.13677978515625
1,2,4,60.0,59.21626281738281
1,2,5,141.0,84.90586853027344
1,2,6,22.0,17.904052734375
1,2,7,1.0,0.3883475661277771
1,3,0,0.0,0.10498981177806854
1,3,1,0.0,0.10498981177806854
1,3,2,0.0,0.10498981177806854
1,3,3,279.0,224.3596649169922
1,3,4,77.0,90.95751953125
1,3,5,36.0,37.75334548950195
1,3,6,13.0,22.79464340209961
1,3,7,8.0,6.181502819061279
1,4,0,0.0,0.10498981177806854
1,4,1,0.0,0.10498981177806854
1,4,2,0.0,0.10498981177806854
1,4,3,53.0,66.3039779663086
1,4,4,141.0,153.0496063232422
1,4,5,20.0,20.832294464111328
1,4,6,58.0,50.45261001586914
1,4,7,9.0,13.846606254577637
1,5,0,3.0,0.480957955121994
1,5,1,5.0,5.879947662353516
1,5,2,2.0,3.7594802379608154
1,5,3,31.0,32.98633575439453
1,5,4,57.0,64.18754577636719
1,5,5,15.0,25.31590461730957
1,5,6,96.0,93.2356185913086
1,5,7,2.0,6.671782493591309
1,6,0,0.0,0.10498981177806854
1,6,1,3.0,3.00167179107666
1,6,2,1.0,0.6719637513160706
1,6,3,19.0,10.186037063598633
1,6,4,11.0,10.037686347961426
1,6,5,0.0,0.2722862958908081
1,6,6,2.0,1.6577712297439575
1,6,7,1.0,6.845224380493164
1,7,0,0.0,0.7836900949478149
1,7,1,1.0,0.661939799785614
1,7,2,0.0,0.10498981177806854
1,7,3,0.0,0.10498981177806854
1,7,4,0.0,0.10498981177806854
1,7,5,0.0,0.10498981177806854
1,7,6,0.0,0.10498981177806854
1,7,7,0.0,0.10498981177806854
2,0,0,0.0,0.10498981177806854
2,0,1,0.0,0.10498981177806854
2,0,2,0.0,0.10498981177806854
2,0,3,0.0,0.10498981177806854
