incident_zip,demand_volume,constraint_volume,demand_norm,constraint_norm,final_score,action
10466,459.0,730.0,0.2668604651162791,0.3699949315762798,26.52,⚠️避開 (需求低或交通嚴重受阻)
11373,376.0,524.0,0.2186046511627907,0.26558540293968574,26.2,⚠️避開 (需求低或交通嚴重受阻)
10474,203.0,70.0,0.11802325581395348,0.035478966041561075,26.02,⚠️避開 (需求低或交通嚴重受阻)
10454,271.0,253.0,0.15755813953488373,0.12823112012164217,26.0,⚠️避開 (需求低或交通嚴重受阻)
11372,281.0,314.0,0.1633720930232558,0.15914850481500253,25.32,⚠️避開 (需求低或交通嚴重受阻)
10001,198.0,94.0,0.11511627906976744,0.0476431829700963,25.28,⚠️避開 (需求低或交通嚴重受阻)
11238,379.0,599.0,0.22034883720930232,0.3035985808413583,24.87,⚠️避開 (需求低或交通嚴重受阻)
11692,183.0,79.0,0.1063953488372093,0.04004054738976178,24.78,⚠️避開 (需求低或交通嚴重受阻)
10003,199.0,123.0,0.11569767441860465,0.06234161175874303,24.75,⚠️避開 (需求低或交通嚴重受阻)
11236,430.0,764.0,0.25,0.387227572225038,24.3,⚠️避開 (需求低或交通嚴重受阻)
10301,214.0,192.0,0.12441860465116279,0.09731373542828181,24.18,⚠️避開 (需求低或交通嚴重受阻)
10035,179.0,103.0,0.10406976744186046,0.05220476431829701,24.09,⚠️避開 (需求低或交通嚴重受阻)
11232,237.0,316.0,0.1377906976744186,0.16016218955904712,22.94,⚠️避開 (需求低或交通嚴重受阻)
10304,178.0,161.0,0.10348837209302325,0.08160162189559048,22.89,⚠️避開 (需求低或交通嚴重受阻)
10012,167.0,132.0,0.09709302325581395,0.06690319310694375,22.88,⚠️避開 (需求低或交通嚴重受阻)
11224,241.0,338.0,0.14011627906976745,0.17131272174353776,22.72,⚠️避開 (需求低或交通嚴重受阻)
11217,324.0,567.0,0.1883720930232558,0.2873796249366447,22.58,⚠️避開 (需求低或交通嚴重受阻)
10036,163.0,155.0,0.09476744186046511,0.07856056766345666,22.21,⚠️避開 (需求低或交通嚴重受阻)
11106,222.0,315.0,0.12906976744186047,0.15965534718702484,22.17,⚠️避開 (需求低或交通嚴重受阻)
11418,223.0,337.0,0.1296511627906977,0.17080587937151545,21.78,⚠️避開 (需求低或交通嚴重受阻)
11412,182.0,228.0,0.1058139534883721,0.11556006082108464,21.77,⚠️避開 (需求低或交通嚴重受阻)
10011,139.0,114.0,0.08081395348837209,0.05778003041054232,21.75,⚠️避開 (需求低或交通嚴重受阻)
10037,119.0,67.0,0.06918604651162791,0.03395843892549417,21.62,⚠️避開 (需求低或交通嚴重受阻)
11435,259.0,457.0,0.15058139534883722,0.23162696401419158,21.32,⚠️避開 (需求低或交通嚴重受阻)
11210,238.0,409.0,0.13837209302325582,0.20729853015712113,21.15,⚠️避開 (需求低或交通嚴重受阻)
11375,177.0,289.0,0.10290697674418604,0.146477445514445,20.29,⚠️避開 (需求低或交通嚴重受阻)
10019,147.0,214.0,0.08546511627906976,0.10846426761277243,20.19,⚠️避開 (需求低或交通嚴重受阻)
11428,108.0,113.0,0.06279069767441861,0.05727318803852002,20.12,⚠️避開 (需求低或交通嚴重受阻)
10306,162.0,261.0,0.0941860465116279,0.1322858590978206,20.05,⚠️避開 (需求低或交通嚴重受阻)
10013,132.0,188.0,0.07674418604651163,0.0952863659401926,19.91,⚠️避開 (需求低或交通嚴重受阻)
11419,378.0,847.0,0.21976744186046512,0.429295489102889,19.9,⚠️避開 (需求低或交通嚴重受阻)
11366,140.0,216.0,0.08139534883720931,0.10947795235681702,19.78,⚠️避開 (需求低或交通嚴重受阻)
10307,76.0,58.0,0.044186046511627906,0.02939685757729346,19.51,⚠️避開 (需求低或交通嚴重受阻)
10014,86.0,86.0,0.05,0.04358844399391789,19.49,⚠️避開 (需求低或交通嚴重受阻)
11432,167.0,308.0,0.09709302325581395,0.15610745058286873,19.39,⚠️避開 (需求低或交通嚴重受阻)
10024,104.0,151.0,0.06046511627906977,0.07653319817536747,19.16,⚠️避開 (需求低或交通嚴重受阻)
11423,128.0,222.0,0.07441860465116279,0.11251900658895084,19.02,⚠️避開 (需求低或交通嚴重受阻)
10309,107.0,176.0,0.062209302325581396,0.08920425747592499,18.82,⚠️避開 (需求低或交通嚴重受阻)
10303,95.0,146.0,0.055232558139534885,0.07399898631525595,18.78,⚠️避開 (需求低或交通嚴重受阻)
10010,58.0,51.0,0.03372093023255814,0.025848960973137353,18.7,⚠️避開 (需求低或交通嚴重受阻)
10004,64.0,74.0,0.037209302325581395,0.03750633552965028,18.56,⚠️避開 (需求低或交通嚴重受阻)
10465,267.0,627.0,0.15523255813953488,0.31779016725798276,18.37,⚠️避開 (需求低或交通嚴重受阻)
11218,243.0,563.0,0.14127906976744187,0.2853522554485555,18.36,⚠️避開 (需求低或交通嚴重受阻)
11436,154.0,326.0,0.08953488372093023,0.16523061327927013,18.34,⚠️避開 (需求低或交通嚴重受阻)
11369,195.0,436.0,0.11337209302325581,0.22098327420172326,18.33,⚠️避開 (需求低或交通嚴重受阻)
11417,194.0,434.0,0.1127906976744186,0.21996958945767867,18.32,⚠️避開 (需求低或交通嚴重受阻)
10302,78.0,129.0,0.04534883720930233,0.06538266599087683,18.21,⚠️避開 (需求低或交通嚴重受阻)
10128,62.0,87.0,0.03604651162790698,0.04409528636594019,18.2,⚠️避開 (需求低或交通嚴重受阻)
11229,260.0,617.0,0.1511627906976744,0.3127217435377598,18.2,⚠️避開 (需求低或交通嚴重受阻)
10017,46.0,53.0,0.026744186046511628,0.026862645717181957,18.02,⚠️避開 (需求低或交通嚴重受阻)
11105,153.0,340.0,0.08895348837209302,0.17232640648758235,18.01,⚠️避開 (需求低或交通嚴重受阻)
11358,156.0,348.0,0.09069767441860466,0.17638114546376077,18.01,⚠️避開 (需求低或交通嚴重受阻)
11361,121.0,258.0,0.07034883720930232,0.13076533198175366,17.94,⚠️避開 (需求低或交通嚴重受阻)
10028,46.0,57.0,0.026744186046511628,0.02889001520527116,17.94,⚠️避開 (需求低或交通嚴重受阻)
10305,116.0,245.0,0.06744186046511629,0.12417638114546375,17.93,⚠️避開 (需求低或交通嚴重受阻)
11693,81.0,152.0,0.04709302325581395,0.07704004054738976,17.92,⚠️避開 (需求低或交通嚴重受阻)
11102,152.0,344.0,0.08837209302325581,0.17435377597567156,17.88,⚠️避開 (需求低或交通嚴重受阻)
11223,254.0,623.0,0.14767441860465116,0.3157627977698936,17.76,⚠️避開 (需求低或交通嚴重受阻)
10471,109.0,238.0,0.06337209302325582,0.12062848454130766,17.7,⚠️避開 (需求低或交通嚴重受阻)
10310,70.0,135.0,0.040697674418604654,0.06842372022301065,17.67,⚠️避開 (需求低或交通嚴重受阻)
10018,38.0,54.0,0.022093023255813953,0.027369488089204256,17.58,⚠️避開 (需求低或交通嚴重受阻)
10038,68.0,136.0,0.03953488372093023,0.06893056259503294,17.54,⚠️避開 (需求低或交通嚴重受阻)
11415,57.0,111.0,0.03313953488372093,0.05625950329447542,17.45,⚠️避開 (需求低或交通嚴重受阻)
